trainer,starter,starter_id,level,wins,losses,badges,badge_rock,badge_grass,badge_water,badge_fire,badge_psychic,badge_normal,badge_ice,badge_elite,evolutions,selected_moves,master_balls
Addy,Meganium,154.0,36,29,12,3,1,1,1,0,0,0,0,0,0,0.0,0
Oakley,Swampert,260.0,47,40,13,6,1,1,1,1,1,1,0,0,0,0.0,1
Raelynn,Blaziken,257.0,43,30,13,6,1,1,1,1,1,1,0,0,0,0.0,1
Dad,Charizard,6.0,44,8,5,1,1,0,0,0,0,0,0,0,0,,0
Mbappe,Froakie,656.0,5,3,2,0,0,0,0,0,0,0,0,0,0,,0
Adeline,Grookey,810.0,5,0,0,0,0,0,0,0,0,0,0,0,0,,0
Lele,Piplup,393.0,6,1,0,0,0,0,0,0,0,0,0,0,0,,0
