trainer,pokemon_name,pokemon_id,types,level_caught,current_level,caught_at,selected_moves
Oakley,Jumpluff,189,grass/flying,5,16,2026-05-23 16:30,
Raelynn,Sudowoodo,185,rock,6,16,2026-05-23 16:33,
Addy,Rhyperior,464,ground/rock,5,16,2026-05-23 22:10,
Oakley,Dusknoir,477,ghost,6,16,2026-05-23 22:13,
Raelynn,Cacturne,332,grass/dark,12,16,2026-05-23 23:19,
Oakley,Butterfree,12,bug/flying,13,17,2026-05-23 23:20,
Addy,Magmortar,467,fire,10,14,2026-05-23 23:24,
Addy,Ambipom,424,normal,13,14,2026-05-24 14:37,
Raelynn,Crobat,169,poison/flying,14,17,2026-05-24 14:41,
